id_pedido,data_deposito,titulo,ipc,url,resumo,classifica_ipc,titulo_english,match_top_10_title,kind_effect,task,object,physical_effect,derived_from,titulo_lemmatized,match_top_10_vec_distance_tasks
BR 20 2020 001664 0,24/01/2020,CONFIGURAÇÃO APLICADA EM SOBRETAMPA METÁLICA,B65D 43/02,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1548738&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"RESUMO CONFIGURAÇÃO APLICADA EM SOBRETAMPA METÁLICA O presente modelo de utilidade refere-se a uma configuração aplicada em sobre tampa metálica, compreendendo fixação através do atrito de travas com a recravação e o corpo da embalagem, vedação através da material emborrachado, plastisol ou similares, e rebaixos para empilhamento de produto, sendo aplicada em embalagens com tampas e utilizada após a abertura da tampa primária (que faz o fechamento e garante a hermeticidade da embalagem), permitindo a retampagem e garantindo a vida útil do produto envasado após a abertura da tampa primária.",  B65D 43/02,Configuration applied in metallic substrate,"{'Move', 'Break Down', 'Remove', 'Change Phase', 'Separate', 'Dry', 'Detect'}",,Vedação,Embalagem,Impermeabilização,"O/a ""Apertar"" atua no/na Sólido dividido para produzir um/uma Empacotamento compacto de esferas iguais.",configuracao aplicar sobretampa metalico,"{'concentrar', 'incorporar'}"
BR 11 2021 015521 0,11/02/2020,"MISTURAS DE PESTICIDAS, MÉTODO PARA CONTROLAR FUNGOS NOCIVOS FITOPATOGÊNICOS E MÉTODO PARA PROTEGER PLANTAS EM CRESCIMENTO OU MATERIAIS DE PROPAGAÇÃO DE PLANTAS DO ATAQUE OU INFESTAÇÃO POR PRAGAS INVERTEBRADAS",A01N 43/58,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1621986&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". Misturas de pesticidas compreendendo como compostos ativos: 1) 1-[(1RS)-1,2-dimetilpropil]-N-etil-5-metil-N-piridazin-4-il-1H-pirazol-4-carboxa-mida, e 2) pelo menos um composto B adicional selecionado a partir deB.1) Inibidores de succinato desidrogenase conforme definido no relatório descritivo; B.2) Inibidores da proteína de ligação ao oxisterol conforme definido no relatório descritivo; B.3) Inibidores do complexo III no local Qi selecionado a partir de: a) florilpicoxamida e b) fenpicoxamida; B.4) Estrobilurinas conforme definido no relatório descritivo; B.5) Inibidores de desmetilase C14 na biossíntese de esterol conforme definido no relatório descritivo; B.6) Inibidores da divisão celular e citoesqueleto conforme definido no relatório descritivo, B.7) Outros compostos de modo de ação desconhecido conforme definido no relatório descritivo; e B.8) N-[[2-fluoro-4-[(2S,3S)-2-hidroxi-3-(3,4,5-triclorofenil)-3-(trifluorometil)pirrolidin-1-il]fenil]metil]ciclopropanocarboxamida; em que componente 1) e componente 2) estão presentes em uma proporção em peso de 1000:1 a 1:1000; métodos e uso dessas misturas para combater pragas invertebradas, tais como insetos, aracnídeos, nematoides e/ou fungos nocivos dentro e sobre as plantas, e para proteger tais plantas sendo infestadas com pragas e/ou fungos nocivos.",  A01N 43/58 ;  A01N 33/20 ;  A01N 37/34 ;  A01N 37/46 ;  A01N 37/52 ;  A01N 43/40 ;  A01N 43/42 ;  A01N 43/54 ;  A01N 43/56 ;  A01N 43/60 ;  A01N 43/653 ;  A01N 43/713 ;  A01N 43/76 ;  A01N 43/78 ;  A01N 43/80 ;  A01N 43/82 ;  A01N 47/20,"Pesticide mixture, method for controlling phytopathogenic nuts and method for protecting growing plants or plant propagation materials from attack or infestation by inverted Prague","{'Produce', 'Prevents', 'Change Phase', 'Mix', 'Heat', 'Dry', 'Melt', 'Destroy'}",,Controlar,Fungos fitopatogênicos,Inibição de processos metabólicos,"O/a ""Misturar"" atua no/na Campo para produzir um/uma heteródino.",mistura pesticida metodo controlar fungo nocivo fitopatogenico metodo proteger planta crescimento material propagacao planta ataque infestacao praga invertebrado,{'segurar'}
BR 11 2021 012872 7,08/01/2020,"CHAPA DE AÇO ELÉTRICO COM GRÃO ORIENTADO, MÉTODO PARA FABRICAR CHAPA DE AÇO ELÉTRICO COM GRÃO ORIENTADO, E, SEPARADOR DE RECOZIMENTO",C21D 8/12,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1617219&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". É provida uma chapa de aço magnética com grão orientado que tem excelentes características magnéticas e na qual a excelente adesividade de uma película de revestimento primário a uma chapa de aço é excelente. A presente invenção é provida com: uma chapa de aço de material de base tendo uma composição química predeterminada; e uma película de revestimento primário que é formada em uma superfície da chapa de aço de material de base e contém Mg2SiO4 como componente principal. Uma posição de um pico de intensidade de emissão óptica de Al obtida quando é realizada análise de elemento por espectrometria de emissão óptica de descarga por brilho na direção da espessura da chapa de aço magnética com grão orientado a partir da superfície da película de revestimento primário, é disposta na faixa de 2,0-10,0 µm na direção da espessura da chapa a partir da superfície da película de revestimento primário. A densidade do número da peça de um óxido de Al que está na posição do pico da intensidade de emissão óptica de Al e que tem um diâmetro circular equivalente com base no tamanho da área de não menos que 0,2 µm é 0,032-0,20 peças/µm2. Em um mapa de distribuição que é para o óxido de Al de 100 µm × 100 µm na posição do pico de intensidade de emissão óptica de Al e que é obtido por espectrometria de emissão óptica de descarga por brilho, quando o mapa de distribuição é dividido em grades de 10 µm × 10 µm, a razão do número de grades não incluindo o óxido de Al com relação ao número total de grades no mapa de distribuição não é mais que 5%.",  C21D 8/12 ;  C22C 38/00 ;  C22C 38/60 ;  H01F 1/147 ;  C23C 22/00,"Electric power sheet with large-oriented, method for making electric power sheet with large-oriented, and separator of receipt","{'Produce', 'Move', 'Break Down', 'Change Phase', 'Cool', 'Separate', 'Heat'}",,Orientar,Sólido dividido,Pó ferromagnético,,chapa aco eletrico grao orientar metodo fabricar chapa aco eletrico grao orientar separador recozimento,{'orientar'}
BR 11 2021 012274 5,21/01/2020,"MÉTODO E SERVIDOR DE REDE PARA AUTENTICAÇÃO E GERENCIAMENTO DE CHAVE, E, PRODUTO DE PROGRAMA DE COMPUTADOR",H04W 12/04,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1616176&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"MÉTODO E SERVIDOR DE REDE PARA AUTENTICAÇÃO E GERENCIAMENTO DE CHAVE PARA APLICAÇÕES (AKMA), DISPOSITIVO DE TERMINAL EM UMA REDE DE COMUNICAÇÃO SEM FIO, E, MÍDIA LEGÍVEL POR COMPUTADOR NÃO TRANSITÓRIA. Um método realizado por um servidor de rede (303) é provido para autenticação e gerenciamento de chave para um dispositivo de terminal (301) em uma rede de comunicação sem fio. O método inclui autenticar (310) o dispositivo de terminal (301) durante uma sessão de autenticação primária para o dispositivo de terminal (301). O método inclui adicionalmente, responsivo a uma autenticação bem-sucedida do dispositivo de terminal, obter (312) uma primeira chave. O método inclui adicionalmente gerar (312) parâmetros de segurança de bootstrapping. Os parâmetros incluem uma segunda chave derivada a partir da primeira chave e um identificador temporário. O identificador temporário identifica o dispositivo de terminal e os parâmetros de segurança de bootstrapping.",  H04W 12/04 ;  H04W 12/00 ;  H04W 12/06,"Network method and server for key authentication and management, and computer program product","{'Produce', 'Move', 'Break Down', 'Change Phase', 'Detect'}",,Autenticar,Dispositivo de terminal,Validação de identidade,"O/a ""Proteger"" atua no/na Gás para produzir um/uma Redundância (informática).",metodo servidor rede autenticacao gerenciamento chave produto programa computador,{'orientar'}
BR 11 2021 014438 2,23/01/2020,PRESERVAÇÃO DE CÉLULAS-TRONCO,A01N 1/02,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1620020&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A invenção refere-se a um campo de preservação de célula-tronco e, em particular, ao uso de uma solução aquosa que compreende polietileno glicol (PEG) que tem um peso molecular de aproximadamente 35000 Da como um agente extracelular para preservar células-tronco.",  A01N 1/02 ;  C12N 5/07,Preservation of Tronco Cells,"{'Produce', 'Move', 'Break Down', 'Preserves', 'Change Phase', 'Separate', 'Hold', 'Protect'}",,Preservar,Célula-tronco,Inibição da degradação celular,"O/a ""Preservar"" atua no/na Sólido para produzir um/uma Gel.",preservacao celulastronco,{'preservar'}
BR 11 2021 015631 3,11/02/2020,"MÉTODO IMPLEMENTADO POR COMPUTADOR, MEIO LEGÍVEL POR COMPUTADOR NÃO TRANSITÓRIO E SISTEMA",H04N 21/44,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1622207&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"TÉCNICAS PARA AVANÇAR A REPRODUÇÃO DE TÍTULOS DE MÍDIA INTERATIVA EM RESPOSTA ÀS SELEÇÕES DE USUÁRIO. Um aplicativo de reprodução avança continuamente a reprodução e título de mídia interativa em resposta às seleções de usuário de uma maneira que minimiza a latência e preserva a imersão do usuário em uma narrativa. O aplicativo de reprodução armazena em buffer um segmento intersticial incluído no título de mídia interativa e alimenta porções do segmento intersticial para um reprodutor de mídia apenas quando essas porções são necessárias para exibição. Quando o usuário seleciona uma opção exibida durante o segmento intersticial, o aplicativo de reprodução começa a armazenar em buffer um segmento de mídia subsequente e interrompe a alimentação de porções do segmento intersticial no reprodutor de mídia. O aplicativo de reprodução começa a alimentar blocos do segmento de mídia subsequente para o reprodutor de mídia e em seguida avança continuamente a reprodução para o segmento de mídia subsequente.",  H04N 21/44 ;  H04N 21/845 ;  H04N 21/8541,"Method Implemented by Computer, Medium Legal by Non-Transitory Computer and System","{'Break Down', 'Prevents', 'Expand', 'Change Phase', 'Separate', 'Dry', 'Detect'}",,Avançar,Reprodução de mídia,Redução da latência,"O/a ""Expandir"" atua no/na Campo para produzir um/uma Retroalimentação.",metodo implementar computador legivel computador transitorio,"{'orientar', 'incorporar'}"
BR 11 2021 014626 1,28/01/2020,MÉTODO PARA PRODUZIR GÁS LIQUEFEITO DE PETRÓLEO,C10L 3/12,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1620323&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A divulgação fornece métodos para a produção de gás liquefeito de petróleo a partir de matérias-primas sustentáveis, incluindo métodos que compreendem a conversão de álcoois produzidos por fermentação gasosa para a produção de propano e/ou butano.",  C10L 3/12 ;  C12P 7/04 ;  C12P 7/16,Method of producing liquid oil gas,"{'Produce', 'Concentrate', 'Change Phase', 'Dilute', 'Heat', 'Evaporate', 'Dry', 'Melt'}",,Produzir,Gás,Liofilização,,metodo produzir gas liquefeito petroleo,{'produzir'}
BR 10 2020 003953 9,27/02/2020,COMPOSIÇÃO ADESIVA DE CONTATO BASE ÁGUA,C09J 131/04,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1561292&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". É descrita uma composição adesiva de contato base água que compreende uma dispersão de etileno e acetato de vinila (VAE) associada com resinas taquificantes e um nanoparticulado mineral, além do uso de agente coalescente e cosolvente para a dispersão das resinas, evitando o uso de plastificante à base ftalatos ou outros solventes perigosos, com a finalidade de alcançar as mesmas propriedades das composições adesivas à base de solvente.",  C09J 131/04,Water-based contact additive composition,"{'Produce', 'Break Down', 'Concentrate', 'Change Phase', 'Dilute', 'Heat', 'Dry', 'Clean', 'Join'}",,Adesivar,Superfície,Aderência,"O/a ""Aquecer"" atua no/na Líquido para produzir um/uma Adesivo.",composicao adesivo contato base agua,{'produzir'}
BR 11 2022 012968 8,28/02/2020,"CONJUNTO DE ISOLAMENTO ZONAL DE FUNDO DE POÇO, SISTEMA DE POÇO E MÉTODO PARA FRATURAR UM SISTEMA DE POÇO",E21B 43/26,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1667792&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". É fornecido um conjunto de isolamento de zona de fundo de poço. O conjunto de isolamento zonal de fundo de poço, de acordo com um aspecto, inclui uma válvula de fraturamento rotativa posicionável dentro do revestimento de furo de poço próximo a uma zona de fraturamento de interesse. O conjunto de isolamento zonal de fundo de poço, de acordo com este aspecto, inclui ainda um atuador de válvula de fraturamento rotativa acoplado à válvula de fraturamento rotativa e componentes eletrônicos de válvula de fraturamento rotativa acoplados ao atuador de válvula de fraturamento rotativa, os componentes eletrônicos de válvula de fraturamento rotativa operáveis para ativar o atuador de válvula de fraturamento rotativa para mover a válvula de fraturamento rotativa de uma primeira posição aberta de revestimento de furo de poço para uma segunda posição fechada de revestimento de furo de poço.",  E21B 43/26 ;  E21B 43/12 ;  E21B 34/12 ;  E21B 47/12 ;  E21B 34/00,"Conjunction of Zone Isolation of Point Fund, Point System and Method to Fragure a Point System","{'Move', 'Break Down', 'Expand', 'Hold'}",,Isolar,Zona de fundo de poço,Bloqueio de fluxo,"O/a ""Separar"" atua no/na Sólido dividido para produzir um/uma Válvula (tubulação).",conjunto isolamento zonal fundo poco poco metodo fraturar poco,{'segurar'}
BR 11 2021 013556 1,13/01/2020,"COMPOSTOS DE FENILAMIDINA 3-SUBSTITUÍDOS, PREPARAÇÃO E USO DOS MESMOS",C07C 323/23,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1618460&SearchParameter=01/01/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,". A presente invenção divulgou os compostos de fenilamidina 3-substituídos da Fórmula geral (I), em que R1, R2, R3, R4, R4a, R4b, A e E têm os mesmos significados definidos na descrição. A presente invenção divulga ainda métodos para a sua preparação e uso dos compostos da Fórmula geral (I) como um agente de proteção de culturas.",  C07C 323/23 ;  C07C 255/61 ;  C07C 211/52 ;  C07C 251/24 ;  C07D 213/58 ;  C07C 255/58 ;  A01N 37/52 ;  A01N 43/40 ;  A01N 43/54 ;  A01N 43/60 ;  A01N 43/78 ;  C07D 213/74 ;  C07D 239/42 ;  C07D 241/12 ;  C07D 241/20 ;  C07D 277/64,"Phenylamidine 3 Substitute, Preparation and Use of the same","{'Produce', 'Freeze', 'Deposit', 'Remove', 'Break Down', 'Change Phase', 'Accumulate', 'Melt', 'Absorb', 'Join'}",,Proteger,Cultura agrícola,Ação biocida,"O/a ""Segurar"" atua no/na Sólido dividido para produzir um/uma Cianoacrilato.",composto fenilamidina 3substituidos preparacao uso mesmo,{'produzir'}
