text,kind_effect,task,object,physical_effect,id
"O/a ""Apertar"" é um/uma Aplicação, que no/na Sólido causa  Matriz de Halbach.",Aplicação,Apertar,Sólido, Matriz de Halbach,3e800e0e-fa07-4e35-b9bb-04605486af3f
"O/a ""Apertar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Apertar,Sólido dividido, Matriz de Halbach,78f42470-2ca7-4bb4-b939-875d7eac57b0
"O/a ""Concentrar"" é um/uma Aplicação, que no/na Campo causa  Matriz de Halbach.",Aplicação,Concentrar,Campo, Matriz de Halbach,946cab4d-d1b2-4a0f-af9e-da39efa1cb54
"O/a ""Concentrar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Concentrar,Sólido dividido, Matriz de Halbach,aec4450c-0fe0-4582-94a0-aaecebb59760
"O/a ""Depositar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Depositar,Sólido dividido, Matriz de Halbach,eaae45fb-8cea-43a9-8a0f-bbb838b89f8b
"O/a ""Detectar"" é um/uma Aplicação, que no/na Sólido causa  Matriz de Halbach.",Aplicação,Detectar,Sólido, Matriz de Halbach,7ea52990-a077-454a-863d-a49a4ef9e83f
"O/a ""Detectar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Detectar,Sólido dividido, Matriz de Halbach,91727086-5565-4315-8aa8-6a21858088ae
"O/a ""Diluir"" é um/uma Aplicação, que no/na Campo causa  Matriz de Halbach.",Aplicação,Diluir,Campo, Matriz de Halbach,da4be80b-303a-46a0-8f52-dd528d45c933
"O/a ""Expandir"" é um/uma Aplicação, que no/na Campo causa  Matriz de Halbach.",Aplicação,Expandir,Campo, Matriz de Halbach,6a999646-901c-45d5-b0a9-b6dd174b105b
"O/a ""Extrair"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Extrair,Sólido dividido, Matriz de Halbach,d7d58e62-91d9-4f2b-9bd8-4738e32bdb46
"O/a ""Juntar"" é um/uma Aplicação, que no/na Campo causa  Matriz de Halbach.",Aplicação,Juntar,Campo, Matriz de Halbach,eb3c344c-7317-4a13-95c1-88e1bbc6c962
"O/a ""Juntar"" é um/uma Aplicação, que no/na Sólido causa  Matriz de Halbach.",Aplicação,Juntar,Sólido, Matriz de Halbach,9b7b1d83-1498-44bd-94d3-238e5ca25326
"O/a ""Juntar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Juntar,Sólido dividido, Matriz de Halbach,f0b09a76-5b16-404b-80b9-1c5d2b8b3905
"O/a ""Limpar"" é um/uma Aplicação, que no/na Gás causa  Matriz de Halbach.",Aplicação,Limpar,Gás, Matriz de Halbach,1053c67d-bf13-4d54-8375-964f43e7818c
"O/a ""Limpar"" é um/uma Aplicação, que no/na Líquido causa  Matriz de Halbach.",Aplicação,Limpar,Líquido, Matriz de Halbach,453efaad-c82b-4f5e-bc1d-1b3f4f142c69
"O/a ""Limpar"" é um/uma Aplicação, que no/na Sólido causa  Matriz de Halbach.",Aplicação,Limpar,Sólido, Matriz de Halbach,2195454c-f9f3-4257-b617-460acd9f0ca3
"O/a ""Limpar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Limpar,Sólido dividido, Matriz de Halbach,a1bd63dc-594a-45bd-bf0d-d0a7aa3ca6e8
"O/a ""Orientar"" é um/uma Aplicação, que no/na Campo causa  Matriz de Halbach.",Aplicação,Orientar,Campo, Matriz de Halbach,185fa689-719b-4313-93e2-24ef303f1ede
"O/a ""Orientar"" é um/uma Aplicação, que no/na Sólido causa  Matriz de Halbach.",Aplicação,Orientar,Sólido, Matriz de Halbach,2edda1e3-839a-4c66-82ed-429233595fa4
"O/a ""Orientar"" é um/uma Aplicação, que no/na Sólido dividido causa  Matriz de Halbach.",Aplicação,Orientar,Sólido dividido, Matriz de Halbach,e617a68f-3a82-45af-9e0a-d6ce4378161e
