id_pedido,data_deposito,titulo,ipc,url,resumo,classifica_ipc
BR 11 2021 018393 0,02/03/2020,TRATAMENTO DE COLISÕES EM UPLINK,H04L 1/18,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1627190&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  A presente invenção se refere a métodos, sistemas e dispositivos para tratar transmissões ou canais em comunicações sem fio que colidem uns com os outros. As técnicas descritas referem-se ao tratamento da colisão entre vários canais sobrepostos (por exemplo, dois ou mais canais com a mesma prioridade). Por exemplo, uma configuração de resolução de colisões pode incluir resolver as colisões entre os canais da mesma prioridade primeiro (por exemplo, as transmissões de informações de retorno primeiro e, em seguida, as informações de controle), entre os canais do mesmo tipo de serviço primeiro (por exemplo, os canais normais primeiro e depois os canais de baixa latência), ou em todos os canais de todas as prioridades de uma só vez. As colisões podem ser resolvidas ignorando ou reagendando as informações sobrepostas da uma ou mais transmissões ou canais de prioridade mais baixa em consideração à uma ou mais transmissões ou canais de prioridade mais alta, ou por multiplexação ou piggybacking de informações sobrepostas de uma ou mais transmissões ou canais de primeira prioridade com uma ou mais transmissões ou canais de segunda prioridade.",  H04L 1/18
BR 11 2021 018071 0,02/03/2020,"ALOJAMENTO DE VELA DE IGNIÇÃO COM PROTEÇÃO ANTICORROSIVA NO LADO INTERNO, BEM COMO VELA DE IGNIÇÃO E PROCESSO DE PRODUÇÃO",H01T 13/14,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1626655&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  ALOJAMENTO DE VELA DE IGNIÇÃO COM PROTEÇÃO ANTICORROSIVA NO LADO INTERNO, BEM COMO VELA DE IGNIÇÃO E PROCESSO DE PRODUÇÃO. A presente invenção refere-se a um alojamento de vela de ignição (2), com um lado interno (24), um lado externo (23) e um eixo longitudinal, o qual se estende de uma extremidade (21) voltada para a câmara de combustão do alojamento de vela de ignição (2) até uma extremidade (22) do alojamento de vela de ignição oposta à câmara de combustão, sendo que o alojamento de vela de ignição (2) apresenta, em seu lado interno (24), um escalão circunferencial (25), o qual está desenhado para que um isolador de vela de ignição (3) encoste sobre o mesmo, sendo que o alojamento de vela de ignição (2) apresenta, em seu lado interno (24), uma camada anticorrosiva (50), a qual está configurada em um trecho (55) do lado interno (24) do alojamento de vela de ignição (2), sendo que o trecho (55) se estende da extremidade (21) voltado para a câmara de combustão até pelo menos acima do escalão (25) e ao longo da circunferência interna do alojamento de vela de ignição (2).",  H01T 13/14 ;  H01T 13/20 ;  H01T 13/32 ;  H01T 13/39 ;  H01T 21/02
BR 11 2021 016947 4,02/03/2020,ANTICORPOS QUE RECONHECEM TAU,C07K 16/18,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1624675&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,  ANTICORPOS QUE RECONHECEM TAU. A invenção fornece anticorpos que se ligam especificamente à tau. Os anticorpos inibem ou retardam patologias associadas à tau e deterioração sintomática associada.,  C07K 16/18 ;  G01N 33/68
BR 10 2020 004169 0,02/03/2020,AQUECEDOR DE AR A LENHA COM DUPLA EXAUSTÃO PARA UTILIZAR EM AMBIENTES DE AVIÁRIOS E OUTROS,F24H 3/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1561871&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  AQUECEDOR DE AR A LENHA COM DUPLA EXAUSTAO PARA UTILIZAR EM AMBIENTES DE AVIARIOS E OUTROS. Compreende a presente patente de um aquecedor de ar a lenha para ser utilizado no aquecimento de ambientes de criagéo anim (avicultura), caracterizado por ser basicamente constituida de fornalha (1), cémara de combustao (2), cémara de passagem de ar limpo e quente inferior (8), cémara de passagem de ar limpo e quente superior (11), cémara de passagem de fogo e fumaga (13), além de uma chaminé (14). A fornalha (1) é uma estrutura confeccionada em chapas de ago, que contornam uma cémara de combustéo (2), que é provida de furos para ventilagéo (3), pona de alimentagéo de lenha (4), acendedor de fogo (5), abertura para sewigo de Iimpeza (6), além de uma abertura de sucgéo da chama para baixo (7). A cémara de passagem de ar limpo e quente inferior (8) é formada por uma galeria que comega na frente da cémara de oombustéo (2) e segue por baixo da mesma, indo para a parts de trés, sendo dotada também de dutos (9) e tubos inferiores (10). A cémara de passagem de ar limpo e quente superior (11) é formada por tubos superiores (12) e abertura para entrada de ar limpo (13). A cémara de passagem de fogo e fumaga (14) é formada pela parte superior da fornalha (1) que é provida de furos para sucgéo da fumaga que vai para a chaminé (15). O aquecedor é dotado ainda de exaustores (A e B) elétricos.",  F24H 3/008 ;  F24H 4/06
BR 11 2021 006234 3,02/03/2020,BIBLIOTECAS DE CÉLULAS ÚNICAS E NÚCLEOS ÚNICOS DE ALTO RENDIMENTO E MÉTODOS DE PREPARO E USO,C12N 15/10,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1607830&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  BIBLIOTECAS DE CÉLULAS ÚNICAS E NÚCLEOS ÚNICOS DE ALTO RENDIMENTO E MÉTODOS DE PREPARO E USO. A presente invenção se refere a métodos para preparar uma biblioteca de sequenciamento que inclui ácidos nucleicos de uma pluralidade de células únicas. Em uma modalidade, o método inclui hashing nuclear ou celular que permite aumento da taxa de rendimento de amostra e aumento da detecção de dupleto em altas taxas de colisão. Em uma modalidade, o método inclui hashing de normalização que auxilia na estimativa e remoção de ruído técnico na variação de célula para célula e aumenta a sensibilidade e a especificidade.",  C12N 15/10
BR 11 2021 019812 1,02/03/2020,CAPACIDADE DE MONITORAMENTO DE CANAL DE CONTROLE PARA COMUNICAÇÕES DE BAIXA LATÊNCIA,H04L 5/00,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1629416&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  CAPACIDADE DE MONITORAMENTO DE CANAL DE CONTROLE PARA COMUNICAÇÕES DE BAIXA LATÊNCIA. Esta divulgação fornece sistemas, métodos e aparelho, em que um equipamento de usuário (UE) pode indicar diferentes capacidades de monitoramento de canal físico de controle de downlink (PDCCH) (tais como capacidades de UE em termos do número de elementos de canal de controle (CCEs), decodificações cegas (BDs), número de formatos de informações de controle de downlink (DCI), etc.) por partição ou amplitude de monitoramento. Por exemplo, um UE pode suportar um número diferente de CCEs por partição ou um número diferente de DCIs por amplitude de monitoramento para diferentes tipos de serviço (tais como um número diferente de CCEs para banda larga móvel melhorada (eMBB) e para comunicações de baixa latência ultraconfiáveis (URLLC)). Um UE pode indicar diferentes conjuntos de capacidades de monitoramento de PDCCH (tais como conjuntos de capacidades de monitoramento de PDCCH para diferentes tipos de serviço, amplitudes de monitoramento, partições, etc.). Uma estação de base pode receber a indicação de informações de capacidade de monitoramento de PDCCH de UE, e pode configurar o UE com uma ou mais ocasiões de monitoramento consequentemente.",  H04L 5/00
BR 11 2021 017973 9,02/03/2020,"CÉLULA, CONSTRUÇÃO DE EXPRESSÃO, PLANTA OU PARTE DE PLANTA, CONJUNTO DE PLANTAS, SEMENTE, ACÚMULO DE SEMENTES, USO DE UMA PLANTA, MÉTODOS PARA CRIAR UMA CÉLULA, PARA PRODUZIR UMA POPULAÇÃO DE PLANTAS, PARA REDUZIR OU ABOLIR A SUSCEPTIBILIDADE A INFECÇÕES E MÉTODOS DE ENSAIO DE UMA PLANTA E DE PROPAGAÇÃO DE UMA PLANTA",C12N 15/82,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1626490&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  CÉLULA, CONSTRUÇÃO DE EXPRESSÃO, PLANTA OU PARTE DE PLANTA, CONJUNTO DE PLANTAS, SEMENTE, ACÚMULO DE SEMENTES, USO DE UMA PLANTA, MÉTODOS PARA CRIAR UMA CÉLULA, PARA PRODUZIR UMA POPULAÇÃO DE PLANTAS, PARA REDUZIR OU ABOLIR A SUSCEPTIBILIDADE A INFECÇÕES E MÉTODOS DE ENSAIO DE UMA PLANTA E DE PROPAGAÇÃO DE UMA PLANTA. A presente invenção refere-se a um alelo Lr67 que difere de um gene Lr67 tipo selvagem de soja como definido na presente invenção. O alelo inesperadamente transmite, intensifica ou estabiliza a tolerância a patógenos fúngicos ou a resistência a uma planta, semente, célula ou outra parte de planta, mais preferencialmente contra ferrugens do gênero Phakopsora em plantas leguminosas ou partes delas. A invenção, em particular, fornece células, construções de expressão e plantas e suas partes, por exemplo, sementes, compreendendo o alelo Lr67 e produtos obtidos ou obteníveis a partir destes. A invenção também provê conjuntos ou populações de plantas ou acúmulos de sementes. Além disso, a invenção fornece usos e métodos para fazer uso do alelo Lr67 da invenção e para realizar as vantagens conferidas por ele. Em particular, a invenção fornece métodos para criar uma célula, planta ou parte dela compreendendo o alelo Lr67 e métodos para produzir uma população de plantas com resistência contra um patógeno fúngico. Outros métodos de acordo com a invenção referem-se à redução ou abolição da suscetibilidade de uma planta, ou parte dela, a infecções por um patógeno fúngico, para avaliar a suscetibilidade à infecção por patógeno fúngico e para a preparação de rações ou produtos alimentícios. O alelo Lr67 da invenção pode ser incorporado na planta de forma transgênica ou por meio de mutagênese dirigida pelo homem.",  C12N 15/82 ;  C07K 14/415
BR 11 2021 018570 4,02/03/2020,COMPARTILHAMENTO DE TEMPO DE OCUPAÇÃO DE CANAL (COT) DE UPLINK (UL) PARA DOWNLINK (DL) COM UL PROGRAMADO EM NOVO RÁDIO-NÃO LICENCIADO (NR-U),H04W 74/08,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1627521&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  COMPARTILHAMENTO DE TEMPO DE OCUPAÇÃO DE CANAL (COT) DE UPLINK (UL) PARA DOWNLINK (DL) COM UL PROGRAMADO EM NOVO RÁDIO-NÃO LICENCIADO (NR-U). São fornecidos sistemas e métodos de comunicação sem fio relacionados ao compartilhamento de um tempo de ocupação de canal (COT) associado com uma transmissão programada de UL em um espectro de frequência compartilhado por múltiplas entidades operacionais de rede. Um primeiro dispositivo de comunicação sem fio comunica, com um segundo dispositivo de comunicação sem fio, uma primeira concessão de programação de uplink (UL). O primeiro dispositivo de comunicação sem fio comunica, com o segundo dispositivo de comunicação sem fio, um primeiro sinal de comunicação de UL com base na primeira concessão de programação de UL durante um primeiro COT, o primeiro COT com base em uma avaliação para liberação canal estendida (eCCA) associada com o primeiro sinal de comunicação de UL. O primeiro dispositivo de comunicação sem fio comunica, com o segundo dispositivo de comunicação sem fio, um sinal de comunicação de downlink (DL) durante o primeiro COT com base em informações de compartilhamento de COT associadas com o primeiro COT.",  H04W 74/08 ;  H04W 74/00
BR 13 2020 004201 6,02/03/2020,"COMPOSIÇÃO FARMACÊUTICA BASEADA EM COMPOSTOS 1,3,4-OXADIAZÓLICOS E SEU USO NA PREPARAÇÃO DE MEDICAMENTOS PARA TRATAMENTO DE INFECÇÕES SISTÊMICAS",A61K 31/4245,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1562020&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  COMPOSIÇÃO FARMACÊUTICA BASEADA EM COMPOSTOS 1,3,4-OXADIAZÓLICOS E SEU USO NA PREPARAÇÃO DE MEDICAMENTOS PARA TRATAMENTO DE INFECÇÕES SISTÊMICAS. A presente invenção se enquadra no contexto da química farmacêutica e se refere a composições farmacêuticas e o seu uso no combate à infecções causadas por fungos, bacterias e micobacterias. Mais especificamente, a presente invenção trata-se de uma composição farmacêutica contra um alvo específico dos patógenos, que é útil no tratamento de infecções humanas causadas por microrganismos do gênero Candida spp., Cryptococcus spp., Paracoccidioides spp. e Mycobaterium spp. A presente invenção descreve o uso da composição ou do composto na formulação de um medicamento, aditivo, agente ou formulação para o tratamento e ou prevenção de infecções causadas por fungos, bactérias e micobactérias.",  A61K 31/4245 ;  A61K 31/41 ;  C07D 271/113 ;  A61P 31/10
BR 11 2021 017024 3,02/03/2020,CONFIGURAÇÃO DE TURBOMÁQUINA COMPRESSOR-EXPANSOR MULTIESTÁGIO,F02C 3/05,https://busca.inpi.gov.br/pePI/servlet/PatenteServletController?Action=detail&CodPedido=1624854&SearchParameter=01/02/2020%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&Resumo=&Titulo=,"  CONFIGURAÇÃO DE TURBOMÁQUINA COMPRESSOREXPANSOR MULTIESTÁGIO. A presente invenção refere-se a uma turbomáquina que compreende uma disposição de invólucro e um eixo de acionamento apoiado para rotação no interior da mesma. O eixo de acionamento é apoiado de maneira rotativa por uma primeira e uma segunda unidades de mancal. Uma primeira e uma segunda seções de compressor são fornecidas na disposição de invólucro. A primeira seção de compressor compreende um primeiro rotor de compressor montado no eixo de acionamento para rotação com o mesmo, e a segunda seção de compressor compreende um segundo rotor de compressor montado no eixo de acionamento para rotação com o mesmo. A turbomáquina compreende adicionalmente um primeiro turboexpansor e um segundo turboexpansor montados no eixo de acionamento para rotação com o mesmo na disposição de invólucro.",  F02C 3/05 ;  F01D 1/14 ;  F02C 3/09 ;  F01D 5/06 ;  F04D 25/04 ;  F02C 6/12 ;  F04D 25/02
